Timestamp,Trial Start Year,Enrollment,Location,Notes,Trial ID
10/27/2021 16:17:16,2014,100,Non-EEA,From EUCTR Results,2014-003401-15
10/27/2021 16:18:06,2011,167,EEA and Non-EEA,From EUCTR Results,2011-001616-57
10/27/2021 16:19:07,2004,94,EEA and Non-EEA,From EUCTR Results,2004-002743-27
10/27/2021 16:20:32,2013,63,EEA and Non-EEA,From EUCTR Results,2013-003561-34
10/27/2021 16:25:43,2006,60,EEA Only,"Combo of EUCTR, ISRCTN, and Paper",2006-001414-33
10/27/2021 16:27:59,2006,140,EEA Only,No results to base final enrolment on. EUCTR and CT.gov match on 140 so used that.,2005-005658-37
10/27/2021 16:29:19,2011,67,EEA Only,From EUCTR Results Document,2010-022980-37
10/27/2021 16:30:17,2017,2425,EEA and Non-EEA,From EUCTR Results,2016-002513-22
10/27/2021 16:33:11,2008,31,EEA and Non-EEA,From EUCTR Results (CT.gov info differed slightly),2009-011276-29
10/27/2021 16:41:15,2008,61,EEA Only,From EUCTR Results Document with context on enrolment from publication,2007-004612-31
10/27/2021 16:43:48,2015,26,EEA Only,From EUCTR Results,2014-004655-31
10/27/2021 16:45:06,2008,30,EEA Only,From EUCTR Results,2007-005979-34
10/27/2021 16:48:48,2005,53,EEA Only,From EUCTR Results Document,2004-004891-36
10/27/2021 16:50:49,2008,50,EEA Only,No results for extraction. Data from comparison of EUCTR and CT.gov entries.,2008-001889-81
10/27/2021 16:51:52,2006,126,Non-EEA,From EUCTR Results,2014-001706-17
10/27/2021 16:54:19,2012,101,EEA Only,From EUCTR Results,2010-022184-35
10/27/2021 16:57:58,2008,161,EEA Only,Values from paper as compared to EUCTR and CT.gov,2006-003995-36
10/27/2021 17:01:48,2015,314,EEA Only,Data from paper compared to trial registrations. Enrolment taken from paper.,2015-003397-33
10/27/2021 17:08:17,2012,60,EEA Only,Data mainly from ClinicalTrials.gov entry cross-checked with EUCTR entry.,2012-002573-62
10/28/2021 12:37:51,2015,72,EEA Only,From EUCTR Results and cross-checked in article,2015-001956-31
10/28/2021 12:40:16,2005,12,EEA Only,These are based on the EUCTR registration which is the only thing I have to go off of.,2005-004685-17
10/28/2021 13:24:54,2008,970,EEA and Non-EEA,From EUCTR Results,2007-002627-32
10/28/2021 13:26:02,2011,72,EEA Only,These are based on the EUCTR registration which is the only thing I have to go off of.,2010-023481-41
10/28/2021 13:27:50,2010,60,EEA Only,Based on cross-checking the EUCTR and ClinicalTrials.gov reg,2009-012543-42
10/28/2021 13:33:36,2010,142,EEA Only,"EUCTR results document cross-checked with article. EUCTR results said recruitment started in 2011 but based on approval dates, the article date of 2010 seems more likely so have used that. May be a type on the results word doc.",2009-017842-30
10/28/2021 13:35:30,2013,60,EEA Only,From EUCTR Results Document,2012-004993-25
10/28/2021 13:39:00,2004,806,EEA and Non-EEA,From EUCTR Results Document,2004-000091-14
10/28/2021 13:41:42,2012,18,EEA Only,Mainly taken from ClinicalTrials.gov as was updated after completion,2012-002105-22
